Height,Bust,Waist,Hips,BodyShape,URL,Season
174,81,64,91,Pear,https://birdsnest-images.imgix.net/system/images/0450/8487/2016-05-24-Birdsnest-D2-S45-BIRDK-09-BLACK-024AAA.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,86,67,89,Rectangle,https://birdsnest-images.imgix.net/system/images/0749/9751/BIRDK-118_023.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,84,72,98,Pear,https://birdsnest-images.imgix.net/system/images/0401/4889/BIRDK-136__Black3.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
179,84,64,90,Pear,https://birdsnest-images.imgix.net/system/images/0805/1267/SCAND-25__Lines_024.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,84,64,91,Pear,"https://images.prismic.io/birdsnest-blog/0f008ccd3dbd537b4bc0ab48aedca389b741e1e7_moon-10-1__charcoal_024.jpg?auto=compress,format",Summer
180,99,72,107,Pear,https://birdsnest-images.imgix.net/system/images/0436/9099/2016-03-31-Bellbird-S8-BLB-77-BLACK-126.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
169,88,67,93,Hour Glass,https://birdsnest-images.imgix.net/system/images/0810/8313/NBIRD-42__Blossom_084.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
173,89,69,94,Hour Glass,https://birdsnest-images.imgix.net/system/images/0713/4909/FTB-11823TWFA__BoldRed_016.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
177,84,69,96,Pear,https://birdsnest-images.imgix.net/system/images/0945/5513/BIRDK-291__Black_005.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,86,65,91,Hour Glass,https://birdsnest-images.imgix.net/system/images/0747/9455/BIRDK-291__Chamray_022.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,94,71,91,Rectangle,https://birdsnest-images.imgix.net/system/images/0619/7137/BIRDK-52-Red-2017-05-24-BirdsNest1017.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,84,66,101,Pear,https://birdsnest-images.imgix.net/system/images/0587/9167/NUL-NU22842-cloudstry013.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
174,81,64,91,Pear,https://birdsnest-images.imgix.net/system/images/0707/3149/Everyday-Cashmere_024.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
175,83,71,99,Pear,https://birdsnest-images.imgix.net/system/images/0741/9275/ELM-8126016__WhiteRaspb_001.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
181,101,83,115,Pear,https://birdsnest-images.imgix.net/system/images/0815/6439/NBIRD-42__Blossom_004.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
176,86.5,70,91.5,Rectangle,https://birdsnest-images.imgix.net/system/images/0849/0991/SUG-T0194__CreamMulti_002.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
170,81,61,89,Pear,https://birdsnest-images.imgix.net/system/images/0742/2815/BOHO-37__Chambray__001.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
172,86,66,99,Pear,https://birdsnest-images.imgix.net/system/images/0594/3757/FA-10079TWFA__Pearl_001.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
176.5,86.5,63.5,89,Hour Glass,https://birdsnest-images.imgix.net/system/images/0696/7535/IMO-IMW18KN010__CactusGree_004.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
176,99,78,112,Pear,https://birdsnest-images.imgix.net/system/images/0968/8433/HAND-274__Navyspots_006.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
174,86,64,89,Hour Glass,https://birdsnest-images.imgix.net/system/images/0740/2767/S2-Moon-49-2018-06-22-BirdsNest-Moonlight-091.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,81,66,91,Pear,https://birdsnest-images.imgix.net/system/images/0687/9867/HAND-154__Pockets_012.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
180,104,81,119,Pear,https://birdsnest-images.imgix.net/system/images/0644/9707/BOHO-245__Blue_005.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
174,84,63.5,89,Hour Glass,https://birdsnest-images.imgix.net/system/images/0781/8469/EB-2379202__Ivy_006.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
178,86.5,61,86.5,Hour Glass,https://birdsnest-images.imgix.net/system/images/0725/5861/20171201_HAND-95-S_750.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
177,101,76,107,Pear,https://birdsnest-images.imgix.net/system/images/0742/2815/BOHO-37__Chambray__001.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
180,112,88,128,Pear,https://birdsnest-images.imgix.net/system/images/0819/4637/BOHO-558__Leaf_006.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
174,87,68,95,Pear,https://birdsnest-images.imgix.net/system/images/0840/7649/BRAV-BT2385__CharcoalT_013.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
180,104,96,121,Pear,https://birdsnest-images.imgix.net/system/images/0790/3771/SCAND-11__YellowPtl_004.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
176,92,80,98,Pear,https://birdsnest-images.imgix.net/system/images/0719/2477/GOR-G31649__Paisley_006.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,94,89,107,Pear,https://birdsnest-images.imgix.net/system/images/0458/0007/2016-05-24-Birdsnest-D2-S13-BIRDK-42-STONE-066.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
178,86,70,101,Pear,https://birdsnest-images.imgix.net/system/images/0610/6117/ELI-TG68-01019.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
173,86,67,97,Pear,https://birdsnest-images.imgix.net/system/images/0705/8119/SAC-STRT3004__SkyWhite_010.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
179,84,61,89,Hour Glass,https://birdsnest-images.imgix.net/system/images/0846/6613/SAC-STRT105__White_003.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
173,114,94,119,Rectangle,https://birdsnest-images.imgix.net/system/images/0621/9637/BIRDK-42__Black_002.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
160,103,83,109,Pear,https://birdsnest-images.imgix.net/system/images/0850/6315/ELM-8137020__Pink_002.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
178,81,64,89,Pear,https://birdsnest-images.imgix.net/system/images/0803/6187/33_BIRDSNEST_BOHO_558_0108.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
173,105,86,112,Pear,https://birdsnest-images.imgix.net/system/images/0799/5673/S21-COR-ICT23297-2018-9-26-Bellebird-w19-d2-L--0877.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
171,86,61,88,Hour Glass,https://birdsnest-images.imgix.net/system/images/0862/3315/BKBD-139-1__Ivory_013.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,81,69,90,Pear,https://birdsnest-images.imgix.net/system/images/0760/7235/SCAND-11__Petals_014.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
167,88,73,94,Pear,https://birdsnest-images.imgix.net/system/images/0867/6745/BRAV-BT2487__Stone_006.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
170,97,78,101,Rectangle,https://birdsnest-images.imgix.net/system/images/0826/1313/HAND-82-R__RedCheck_5464.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
180,86,65,94,Pear,https://birdsnest-images.imgix.net/system/images/0331/3695/IMG_1258.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
174,110,93,110,Rectangle,https://birdsnest-images.imgix.net/system/images/0553/2071/BOHO-245__Black_017.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
171,86,64,89,Hour Glass,https://birdsnest-images.imgix.net/system/images/0401/0509/2015.12.14_BIRDK-50-S_008.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,86,61,86,Hour Glass,https://birdsnest-images.imgix.net/system/images/0657/8857/20170921_Maroubra_Natalie52840.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,76,65,79,Rectangle,https://birdsnest-images.imgix.net/system/images/0705/1429/NAU-PJ-04-SS__Cornflour_015.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,98,82,102,Rectangle,https://birdsnest-images.imgix.net/system/images/0595/6357/BIRDK-359-SmokeyGrey-2017.05.25-BirdsNest-Day2374AAA.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,97,84,109,Pear,https://birdsnest-images.imgix.net/system/images/0856/1433/BOHO-229__Port_019.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
179,87,64,93,Pear,https://birdsnest-images.imgix.net/system/images/0697/7445/BRAV-BT925__DenimStrip_001.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
175,86,64,89,Hour Glass,https://birdsnest-images.imgix.net/system/images/0725/0693/Boom_shankar_029.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,96,80,107,Pear,https://birdsnest-images.imgix.net/system/images/0830/1725/BRAV-BT2393__DenimBlue_018.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
177,86,66,91,Hour Glass,https://birdsnest-images.imgix.net/system/images/0864/9445/ELM-81X4044__Black_004.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,96,81,107,Pear,"https://birdsnest-images.imgix.net/system/images/0874/4965/ZAK-ZW9924__BondiBabe_018.jpg?ixlib=rails-2.1.4&auto=format,compress&q=75&w=423",Summer
172,100,87,109,Pear,https://birdsnest-images.imgix.net/system/images/0820/9263/BOHO-558__Leaf_012.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
176,113,104,132,Pear,https://birdsnest-images.imgix.net/system/images/0828/5501/HAND-82-R__RedCheck_018.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
169,101,80,98,Rectangle,https://birdsnest-images.imgix.net/system/images/0842/7395/FOI-FO5178__SilverMix_011.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
172,97,73,103,Pear,https://birdsnest-images.imgix.net/system/images/0832/9873/HAT-F18HXL440__Sapphire_012.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
176,84,64,96,Pear,https://birdsnest-images.imgix.net/system/images/0897/1195/HAND-243__Navy_152.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,86.5,61,92.5,Pear,https://birdsnest-images.imgix.net/system/images/0744/7115/HAND-178__FloraLace_033.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
176,104,92,111,Pear,https://birdsnest-images.imgix.net/system/images/0735/7119/birdkeepers_217.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
174,81,64,91,Pear,https://birdsnest-images.imgix.net/system/images/0450/8487/2016-05-24-Birdsnest-D2-S45-BIRDK-09-BLACK-024AAA.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,86,67,89,Rectangle,https://birdsnest-images.imgix.net/system/images/0749/9751/BIRDK-118_023.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,84,72,98,Pear,https://birdsnest-images.imgix.net/system/images/0401/4889/BIRDK-136__Black3.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
179,84,64,90,Pear,https://birdsnest-images.imgix.net/system/images/0805/1267/SCAND-25__Lines_024.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,84,64,91,Pear,"https://images.prismic.io/birdsnest-blog/0f008ccd3dbd537b4bc0ab48aedca389b741e1e7_moon-10-1__charcoal_024.jpg?auto=compress,format",Summer
180,99,72,107,Pear,https://birdsnest-images.imgix.net/system/images/0436/9099/2016-03-31-Bellbird-S8-BLB-77-BLACK-126.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
169,88,67,93,Hour Glass,https://birdsnest-images.imgix.net/system/images/0810/8313/NBIRD-42__Blossom_084.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
173,89,69,94,Hour Glass,https://birdsnest-images.imgix.net/system/images/0713/4909/FTB-11823TWFA__BoldRed_016.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
177,84,69,96,Pear,https://birdsnest-images.imgix.net/system/images/0945/5513/BIRDK-291__Black_005.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,86,65,91,Hour Glass,https://birdsnest-images.imgix.net/system/images/0747/9455/BIRDK-291__Chamray_022.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
178,94,71,91,Rectangle,https://birdsnest-images.imgix.net/system/images/0619/7137/BIRDK-52-Red-2017-05-24-BirdsNest1017.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
175,84,66,101,Pear,https://birdsnest-images.imgix.net/system/images/0587/9167/NUL-NU22842-cloudstry013.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Summer
174,81,64,91,Pear,https://birdsnest-images.imgix.net/system/images/0707/3149/Everyday-Cashmere_024.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
175,83,71,99,Pear,https://birdsnest-images.imgix.net/system/images/0741/9275/ELM-8126016__WhiteRaspb_001.jpg?ixlib=rails-2.1.4&auto=format%2Ccompress&q=75&w=423,Winter
